id,filepath,english_name,has_japanese,japanese_count,min_freedom,is_puppet,uses_overlord_color,japanese_candidate,english_examples,japanese_examples
autonomy_SSR,bakasekai/_bsm_SSR.txt,Ssr,False,0,0.0,True,False,Ssr,[],[]
autonomy_Soviet_Sattelite_State,bakasekai/_bsm_Soviet_Satellite_State.txt,Soviet Sattelite State,False,0,0.75,True,False,Soviet Sattelite State,[],[]
autonomy_Soviet_Supervised_State,bakasekai/_bsm_Soviet_Supervised_State.txt,Soviet Supervised State,False,0,0.6,True,False,Soviet Supervised State,[],[]
autonomy_aat_defense_council_member,bakasekai/aat_defense_council_member.txt,Defense Council Member,False,0,0.0,True,True,防衛評議会メンバー,[],[]
autonomy_antarctic_territory,bakasekai/_bsm_antarctic_territory.txt,Antarctic Territory,False,0,0.0,False,False,Antarctic Territory,[],[]
autonomy_associated_state,bakasekai/_bsm_default_autonomies.txt,Associated State,False,0,0.75,True,True,Associated State,[],[]
autonomy_associated_state_colored,bakasekai/_bsm_colored_autonomies.txt,Associated State Colored,False,0,0.75,True,True,Associated State Colored,[],[]
autonomy_austro_hungarian_subject,bakasekai/wuw_austro_hungarian_subject.txt,Austro-Hungarian Subject,False,0,0.2,True,True,オーストリア・ハンガリー従属国,[],[]
autonomy_authority_of_palestine,bakasekai/_bsm_israeli_autonomies.txt,Authority Of Palestine,False,0,0.0,False,False,Authority Of Palestine,[],[]
autonomy_autonomous_province,bakasekai/_bsm_serbian_autonomies.txt,Autonomous Province,False,0,0.0,False,True,Autonomous Province,[],[]
autonomy_autonomous_reichskommissariat,bakasekai/_bsm_autonomous_reichskommissariat.txt,Autonomous Reichskommissariat,False,0,0.6,True,False,Autonomous Reichskommissariat,[],[]
autonomy_china_warlord_regime,bakasekai/_bsm_china_warlordregime.txt,China Warlord Regime,False,0,0.8,False,False,China Warlord Regime,[],[]
autonomy_client_state,bakasekai/_bsm_client_state.txt,Client State,False,0,0.75,False,False,Client State,[],[]
autonomy_collaboration_government,bakasekai/lar_collaboration_government.txt,Collaboration Government,False,0,0.0,True,True,協力政府,[],[]
autonomy_colony,bakasekai/colony.txt,Colony,False,0,0.6,True,True,植民地,[],[]
autonomy_cuban_confederation,bakasekai/_bsm_antillean_autonomies.txt,Cuban Confederation,False,0,0.0,False,True,Cuban Confederation,[],[]
autonomy_dominion,bakasekai/dominion.txt,Dominion,False,0,0.8,False,False,自治領,[],[]
autonomy_eu_member,bakasekai/wuw_european_union_puppet.txt,EU Member,False,0,0.0,True,True,EU加盟国,[],[]
autonomy_fifty_first_state_iraq,bakasekai/_bsm_IRQ_autonomies.txt,Fifty First State Iraq,False,0,0.85,False,True,Fifty First State Iraq,[],[]
autonomy_fifty_second_state_afghanistan,bakasekai/_bsm_AFG_autonomies.txt,Fifty Second State Afghanistan,False,0,0.85,False,False,Fifty Second State Afghanistan,[],[]
autonomy_ibrgovernate,bakasekai/_bsm_iberian_governate.txt,Ibrgovernate,False,0,0.25,True,False,Ibrgovernate,[],[]
autonomy_integrated_puppet,bakasekai/integrated_puppet.txt,Integrated Puppet,False,0,0.2,True,True,統合傀儡国家,[],[]
autonomy_integrated_reichskommissariat,bakasekai/_bsm_integrated_reichskommissariat.txt,Integrated Reichskommissariat,False,0,0.4,True,False,Integrated Reichskommissariat,[],[]
autonomy_irn_province,bakasekai/_bsm_tajik_autonomies.txt,Irn Province,False,0,0.2,False,True,Irn Province,[],[]
autonomy_islamic_republic,bakasekai/_bsm_iran_autonomies.txt,Islamic Republic,False,0,0.2,False,True,Islamic Republic,[],[]
autonomy_italy_antiimperialist,bakasekai/_bsm_italy_antiimperialist.txt,Italy Antiimperialist,False,0,0.4,False,False,Italy Antiimperialist,[],[]
autonomy_italy_associate,bakasekai/_bsm_italy_associate.txt,Italy Associate,False,0,0.8,False,False,Italy Associate,[],[]
autonomy_italy_governate,bakasekai/_bsm_italy_colony.txt,Italy Governate,False,0,0.0,False,False,Italy Governate,[],[]
autonomy_italy_hefty_influence,bakasekai/_bsm_italy_hefty_influence.txt,Italy Hefty Influence,False,0,0.4,False,False,Italy Hefty Influence,[],[]
autonomy_italy_reliant,bakasekai/_bsm_italy_reliant.txt,Italy Reliant,False,0,0.4,False,False,Italy Reliant,[],[]
autonomy_korean_federation,bakasekai/_bsm_korea_autonomies.txt,Korean Federation,False,0,0.0,False,True,Korean Federation,[],[]
autonomy_liberated_government,bakasekai/_bsm_liberated_government.txt,Liberated Government,False,0,0.25,False,False,Liberated Government,[],[]
autonomy_marz_arm,bakasekai/_bsm_armenian_autonomies.txt,Marz Arm,False,0,0.0,False,True,Marz Arm,[],[]
autonomy_military_district,bakasekai/_bsm_military_district.txt,Military District,False,0,0.0,True,False,Military District,[],[]
autonomy_military_government,bakasekai/_bsm_military_government.txt,Military Government,False,0,0.0,True,False,Military Government,[],[]
autonomy_occupied_territory,bakasekai/_bsm_occupied_territory.txt,Occupied Territory,False,0,0.0,True,False,Occupied Territory,[],[]
autonomy_personal_union,bakasekai/nsb_personal_union.txt,Personal Union,False,0,0.0,True,True,同君連合,[],[]
autonomy_psonal_union,bakasekai/personal_union.txt,Psonal Union,False,0,0.1,False,True,Psonal Union,[],[]
autonomy_puppet,bakasekai/puppet.txt,Puppet,False,0,0.4,True,False,傀儡国家,[],[]
autonomy_reichskommissariat,bakasekai/reichskommissariat.txt,Reichskommissariat,False,0,0.2,True,False,帝国委任統治領,[],[]
autonomy_reichsprotectorate,bakasekai/reichsprotectorate.txt,Reichsprotectorate,False,0,0.5,True,False,帝国保護領,[],[]
autonomy_reichsprotektorat,bakasekai/_bsm_reichsprotektorat.txt,Reichsprotektorat,False,0,0.2,True,False,Reichsprotektorat,[],[]
autonomy_republic_khm,bakasekai/_bsm_russian_autonomies.txt,Republic Khm,False,0,0.0,True,True,Republic Khm,[],[]
autonomy_republic_ukr,bakasekai/_bsm_ukrainian_autonomies.txt,Republic Ukr,False,0,0.0,False,True,Republic Ukr,[],[]
autonomy_satellite,bakasekai/satellite.txt,Satellite,False,0,0.8,False,False,衛星国,[],[]
autonomy_sea_integrated_warlord_subject,bakasekai/_bsm_sea_integrated_warlord_subject.txt,Integrated Warlord,False,0,0.5,True,True,統合軍閥,[],[]
autonomy_sea_warlord_subject,bakasekai/_bsm_sea_warlord_subject.txt,Warlord,False,0,0.6,True,True,軍閥,[],[]
autonomy_special_administrative_region_HKG,bakasekai/_bsm_chinese_autonomies.txt,Special Administrative Region Hkg,False,0,0.0,True,True,Special Administrative Region Hkg,[],[]
autonomy_supervised_state,bakasekai/supervised_state.txt,Supervised State,False,0,0.75,False,True,監督国家,[],[]
autonomy_terrorist_branch,bakasekai/_bsm_caliphate_autonomies.txt,Terrorist Branch,False,0,0.6,True,True,Terrorist Branch,[],[]
autonomy_transnistria_governate,bakasekai/_bsm_transnistria_governate.txt,Transnistria Governate,False,0,0.8,False,False,Transnistria Governate,[],[]
autonomy_uar_state,bakasekai/_bsm_uar_autonomies.txt,Uar State,False,0,0.6,True,True,Uar State,[],[]
autonomy_ulster_breakaway_state,bakasekai/_bsm_ulster_breakawayautonomy.txt,Ulster Breakaway State,False,0,0.8,False,False,Ulster Breakaway State,[],[]
autonomy_union_state,bakasekai/_bsm_union_state.txt,Union State,False,0,0.85,False,True,Union State,[],[]
autonomy_volkskommissariat,bakasekai/wuw_volkskommissariat.txt,Volkskommissariat,False,0,0.2,True,True,人民委員区,[],[]
autonomy_wtt_imperial_associate,bakasekai/wtt_imperial_associate.txt,Imperial Associate,False,0,0.7,True,False,帝国連合国,[],[]
autonomy_wtt_imperial_protectorate,bakasekai/wtt_imperial_protectorate.txt,Imperial Protectorate,False,0,0.2,True,False,帝国保護領,[],[]
