hull_id,source_path,parent_id,archetype_id,inheritance_source,module_slots_mode,declared_slots,inherited_slot_entries,overridden_slots,new_slots,effective_slots,fixed_slots,custom_slots,front_slots,mid_slots,rear_slots,optional_slots,other_slots,effective_slot_ids
SH_battleship_1,bakasekai/common/units/ship_hull_heavy.txt,,ship_hull_heavy,ship_hull_heavy,block,14,0,11,3,14,7,7,2,3,2,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;front_2_custom_slot;mid_1_custom_slot;mid_2_custom_slot;mid_3_custom_slot;rear_1_custom_slot;rear_2_custom_slot
SH_battleship_2,bakasekai/common/units/ship_hull_heavy.txt,SH_battleship_1,ship_hull_heavy,SH_battleship_1,block,14,0,14,0,14,7,7,2,3,2,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;front_2_custom_slot;mid_1_custom_slot;mid_2_custom_slot;mid_3_custom_slot;rear_1_custom_slot;rear_2_custom_slot
battle_cruiser_1,bakasekai/common/units/ship_hull_heavy.txt,,ship_hull_heavy,ship_hull_heavy,inherit,0,0,0,0,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
battle_cruiser_2,bakasekai/common/units/ship_hull_heavy.txt,battle_cruiser_1,ship_hull_heavy,battle_cruiser_1,inherit,0,0,0,0,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
battleship_1,bakasekai/common/units/ship_hull_heavy.txt,,ship_hull_heavy,ship_hull_heavy,block,11,0,11,0,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
battleship_2,bakasekai/common/units/ship_hull_heavy.txt,battleship_1,ship_hull_heavy,battleship_1,inherit,0,0,0,0,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
battleship_3,bakasekai/common/units/ship_hull_heavy.txt,battleship_2,ship_hull_heavy,battleship_2,inherit,0,0,0,0,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
battleship_4,bakasekai/common/units/ship_hull_heavy.txt,battleship_3,ship_hull_heavy,battleship_3,inherit,0,0,0,0,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
carrier_1,bakasekai/common/units/ship_hull_carrier.txt,,ship_hull_carrier,ship_hull_carrier,block,7,0,7,0,7,6,1,1,0,0,0,0,fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_anti_air_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;front_1_custom_slot
carrier_2,bakasekai/common/units/ship_hull_carrier.txt,carrier_1,ship_hull_carrier,carrier_1,block,7,0,7,0,7,6,1,1,0,0,0,0,fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_anti_air_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;front_1_custom_slot
carrier_3,bakasekai/common/units/ship_hull_carrier.txt,carrier_2,ship_hull_carrier,carrier_2,inherit,0,0,0,0,7,6,1,1,0,0,0,0,fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_anti_air_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;front_1_custom_slot
carrier_4,bakasekai/common/units/ship_hull_carrier.txt,carrier_3,ship_hull_carrier,carrier_3,inherit,0,0,0,0,7,6,1,1,0,0,0,0,fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_anti_air_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;front_1_custom_slot
destroyer_1,bakasekai/common/units/ship_hull_light.txt,,ship_hull_light,ship_hull_light,inherit,0,0,0,0,8,6,2,0,1,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_torpedo_slot;fixed_ship_engine_slot;mid_1_custom_slot;rear_1_custom_slot
destroyer_2,bakasekai/common/units/ship_hull_light.txt,destroyer_1,ship_hull_light,destroyer_1,inherit,0,0,0,0,8,6,2,0,1,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_torpedo_slot;fixed_ship_engine_slot;mid_1_custom_slot;rear_1_custom_slot
destroyer_3,bakasekai/common/units/ship_hull_light.txt,destroyer_2,ship_hull_light,destroyer_2,inherit,0,0,0,0,8,6,2,0,1,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_torpedo_slot;fixed_ship_engine_slot;mid_1_custom_slot;rear_1_custom_slot
destroyer_4,bakasekai/common/units/ship_hull_light.txt,destroyer_3,ship_hull_light,destroyer_3,inherit,0,0,0,0,8,6,2,0,1,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_torpedo_slot;fixed_ship_engine_slot;mid_1_custom_slot;rear_1_custom_slot
heavy_cruiser_1,bakasekai/common/units/ship_hull_cruiser.txt,,ship_hull_cruiser,ship_hull_cruiser,block,12,7,3,2,12,7,5,1,2,2,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot;rear_2_custom_slot
heavy_cruiser_2,bakasekai/common/units/ship_hull_cruiser.txt,heavy_cruiser_1,ship_hull_cruiser,heavy_cruiser_1,inherit,0,0,0,0,12,7,5,1,2,2,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot;rear_2_custom_slot
heavy_cruiser_3,bakasekai/common/units/ship_hull_cruiser.txt,heavy_cruiser_2,ship_hull_cruiser,heavy_cruiser_2,inherit,0,0,0,0,12,7,5,1,2,2,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot;rear_2_custom_slot
heavy_cruiser_4,bakasekai/common/units/ship_hull_cruiser.txt,heavy_cruiser_3,ship_hull_cruiser,heavy_cruiser_3,inherit,0,0,0,0,12,7,5,1,2,2,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot;rear_2_custom_slot
light_cruiser_1,bakasekai/common/units/ship_hull_cruiser.txt,,ship_hull_cruiser,ship_hull_cruiser,inherit,0,0,0,0,10,7,3,0,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
light_cruiser_2,bakasekai/common/units/ship_hull_cruiser.txt,light_cruiser_1,ship_hull_cruiser,light_cruiser_1,inherit,0,0,0,0,10,7,3,0,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
light_cruiser_3,bakasekai/common/units/ship_hull_cruiser.txt,light_cruiser_2,ship_hull_cruiser,light_cruiser_2,inherit,0,0,0,0,10,7,3,0,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
light_cruiser_4,bakasekai/common/units/ship_hull_cruiser.txt,light_cruiser_3,ship_hull_cruiser,light_cruiser_3,inherit,0,0,0,0,10,7,3,0,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
ship_hull_carrier,bakasekai/common/units/ship_hull_carrier.txt,,,,block,36,0,0,36,36,17,19,4,3,2,6,4,fixed_ship_fuel_slot_1;fixed_ship_fuel_slot_2;fixed_ship_engine_slot;fixed_ship_engine_slot_2;fixed_ship_secondaries_slot;fixed_ship_secondaries_slot_2;fixed_ship_secondaries_slot_3;fixed_ship_secondaries_slot_4;fixed_ship_secondaries_slot_5;fixed_ship_anti_air_slot;fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_armor_slot;fixed_ship_armor_slot_2;fixed_ship_bow_slot_1;fixed_ship_bow_slot_2;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_sonar_slot;main_weapon_slot_1;main_weapon_slot_2;main_weapon_slot_3;main_weapon_slot_4;mid_1_custom_slot;mid_2_custom_slot;mid_3_custom_slot;rear_1_custom_slot;rear_2_custom_slot;optional_slot_1;optional_slot_2;optional_slot_3;front_1_custom_slot;front_2_custom_slot;optional_slot_4;optional_slot_5;optional_slot_6
ship_hull_carrier_1,bakasekai/common/units/ship_hull_carrier.txt,,ship_hull_carrier,ship_hull_carrier,inherit,0,0,0,0,36,17,19,4,3,2,6,4,fixed_ship_fuel_slot_1;fixed_ship_fuel_slot_2;fixed_ship_engine_slot;fixed_ship_engine_slot_2;fixed_ship_secondaries_slot;fixed_ship_secondaries_slot_2;fixed_ship_secondaries_slot_3;fixed_ship_secondaries_slot_4;fixed_ship_secondaries_slot_5;fixed_ship_anti_air_slot;fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_armor_slot;fixed_ship_armor_slot_2;fixed_ship_bow_slot_1;fixed_ship_bow_slot_2;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_sonar_slot;main_weapon_slot_1;main_weapon_slot_2;main_weapon_slot_3;main_weapon_slot_4;mid_1_custom_slot;mid_2_custom_slot;mid_3_custom_slot;rear_1_custom_slot;rear_2_custom_slot;optional_slot_1;optional_slot_2;optional_slot_3;front_1_custom_slot;front_2_custom_slot;optional_slot_4;optional_slot_5;optional_slot_6
ship_hull_carrier_2,bakasekai/common/units/ship_hull_carrier.txt,ship_hull_carrier_1,ship_hull_carrier,ship_hull_carrier_1,inherit,0,0,0,0,36,17,19,4,3,2,6,4,fixed_ship_fuel_slot_1;fixed_ship_fuel_slot_2;fixed_ship_engine_slot;fixed_ship_engine_slot_2;fixed_ship_secondaries_slot;fixed_ship_secondaries_slot_2;fixed_ship_secondaries_slot_3;fixed_ship_secondaries_slot_4;fixed_ship_secondaries_slot_5;fixed_ship_anti_air_slot;fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_armor_slot;fixed_ship_armor_slot_2;fixed_ship_bow_slot_1;fixed_ship_bow_slot_2;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_sonar_slot;main_weapon_slot_1;main_weapon_slot_2;main_weapon_slot_3;main_weapon_slot_4;mid_1_custom_slot;mid_2_custom_slot;mid_3_custom_slot;rear_1_custom_slot;rear_2_custom_slot;optional_slot_1;optional_slot_2;optional_slot_3;front_1_custom_slot;front_2_custom_slot;optional_slot_4;optional_slot_5;optional_slot_6
ship_hull_carrier_3,bakasekai/common/units/ship_hull_carrier.txt,ship_hull_carrier_2,ship_hull_carrier,ship_hull_carrier_2,inherit,0,0,0,0,36,17,19,4,3,2,6,4,fixed_ship_fuel_slot_1;fixed_ship_fuel_slot_2;fixed_ship_engine_slot;fixed_ship_engine_slot_2;fixed_ship_secondaries_slot;fixed_ship_secondaries_slot_2;fixed_ship_secondaries_slot_3;fixed_ship_secondaries_slot_4;fixed_ship_secondaries_slot_5;fixed_ship_anti_air_slot;fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_armor_slot;fixed_ship_armor_slot_2;fixed_ship_bow_slot_1;fixed_ship_bow_slot_2;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_sonar_slot;main_weapon_slot_1;main_weapon_slot_2;main_weapon_slot_3;main_weapon_slot_4;mid_1_custom_slot;mid_2_custom_slot;mid_3_custom_slot;rear_1_custom_slot;rear_2_custom_slot;optional_slot_1;optional_slot_2;optional_slot_3;front_1_custom_slot;front_2_custom_slot;optional_slot_4;optional_slot_5;optional_slot_6
ship_hull_carrier_conversion_bb,bakasekai/common/units/ship_hull_carrier.txt,,ship_hull_carrier,ship_hull_carrier,inherit,0,0,0,0,36,17,19,4,3,2,6,4,fixed_ship_fuel_slot_1;fixed_ship_fuel_slot_2;fixed_ship_engine_slot;fixed_ship_engine_slot_2;fixed_ship_secondaries_slot;fixed_ship_secondaries_slot_2;fixed_ship_secondaries_slot_3;fixed_ship_secondaries_slot_4;fixed_ship_secondaries_slot_5;fixed_ship_anti_air_slot;fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_armor_slot;fixed_ship_armor_slot_2;fixed_ship_bow_slot_1;fixed_ship_bow_slot_2;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_sonar_slot;main_weapon_slot_1;main_weapon_slot_2;main_weapon_slot_3;main_weapon_slot_4;mid_1_custom_slot;mid_2_custom_slot;mid_3_custom_slot;rear_1_custom_slot;rear_2_custom_slot;optional_slot_1;optional_slot_2;optional_slot_3;front_1_custom_slot;front_2_custom_slot;optional_slot_4;optional_slot_5;optional_slot_6
ship_hull_carrier_conversion_ca,bakasekai/common/units/ship_hull_carrier.txt,,ship_hull_carrier,ship_hull_carrier,inherit,0,0,0,0,36,17,19,4,3,2,6,4,fixed_ship_fuel_slot_1;fixed_ship_fuel_slot_2;fixed_ship_engine_slot;fixed_ship_engine_slot_2;fixed_ship_secondaries_slot;fixed_ship_secondaries_slot_2;fixed_ship_secondaries_slot_3;fixed_ship_secondaries_slot_4;fixed_ship_secondaries_slot_5;fixed_ship_anti_air_slot;fixed_ship_deck_slot_1;fixed_ship_deck_slot_2;fixed_ship_armor_slot;fixed_ship_armor_slot_2;fixed_ship_bow_slot_1;fixed_ship_bow_slot_2;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_sonar_slot;main_weapon_slot_1;main_weapon_slot_2;main_weapon_slot_3;main_weapon_slot_4;mid_1_custom_slot;mid_2_custom_slot;mid_3_custom_slot;rear_1_custom_slot;rear_2_custom_slot;optional_slot_1;optional_slot_2;optional_slot_3;front_1_custom_slot;front_2_custom_slot;optional_slot_4;optional_slot_5;optional_slot_6
ship_hull_cruiser,bakasekai/common/units/ship_hull_cruiser.txt,,,,block,10,0,0,10,10,7,3,0,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
ship_hull_cruiser_1,bakasekai/common/units/ship_hull_cruiser.txt,,ship_hull_cruiser,ship_hull_cruiser,inherit,0,0,0,0,10,7,3,0,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
ship_hull_cruiser_2,bakasekai/common/units/ship_hull_cruiser.txt,ship_hull_cruiser_1,ship_hull_cruiser,ship_hull_cruiser_1,block,11,7,3,1,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
ship_hull_cruiser_3,bakasekai/common/units/ship_hull_cruiser.txt,ship_hull_cruiser_2,ship_hull_cruiser,ship_hull_cruiser_2,block,12,7,4,1,12,7,5,1,2,2,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot;rear_2_custom_slot
ship_hull_cruiser_4,bakasekai/common/units/ship_hull_cruiser.txt,ship_hull_cruiser_3,ship_hull_cruiser,ship_hull_cruiser_3,block,12,7,5,0,12,7,5,1,2,2,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot;rear_2_custom_slot
ship_hull_cruiser_coastal_defense_ship,bakasekai/common/units/ship_hull_cruiser.txt,,ship_hull_cruiser,ship_hull_cruiser,block,11,6,4,1,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
ship_hull_cruiser_panzerschiff,bakasekai/common/units/ship_hull_cruiser.txt,,ship_hull_cruiser,ship_hull_cruiser,block,11,6,4,1,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
ship_hull_cruiser_submarine,bakasekai/common/units/ship_hull_submarine.txt,,ship_hull_submarine,ship_hull_submarine,block,5,2,1,2,5,2,3,1,1,1,0,0,fixed_ship_torpedo_slot;fixed_ship_engine_slot;front_1_custom_slot;mid_1_custom_slot;rear_1_custom_slot
ship_hull_heavy,bakasekai/common/units/ship_hull_heavy.txt,,,,block,11,0,0,11,11,7,4,1,2,1,0,0,fixed_ship_battery_slot;fixed_ship_anti_air_slot;fixed_ship_fire_control_system_slot;fixed_ship_radar_slot;fixed_ship_engine_slot;fixed_ship_secondaries_slot;fixed_ship_armor_slot;front_1_custom_slot;mid_1_custom_slot;mid_2_custom_slot;rear_1_custom_slot
