hull_id,source_path,ssw_role_source,profile_id,total_slot_count,editable_slot_count,fixed_visible_slot_count,locked_visible_slot_count,hidden_slot_count,assignment_basis,provisional_displacement_review
SH_battleship_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,maximum_36,36,35,1,0,0,super-heavy capital hull,yes
SH_battleship_2,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,maximum_36,36,35,1,0,0,super-heavy capital hull,yes
battle_cruiser_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
battle_cruiser_2,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
battleship_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
battleship_2,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
battleship_3,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
battleship_4,bakasekai/common/units/equipment/ship_hull_heavy.txt,ship_type_slot,capital_30,30,29,1,0,0,standard capital hull,yes
carrier_1,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,capital_30,30,29,1,0,0,standard carrier aviation adjustment,yes
carrier_2,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,capital_30,30,29,1,0,0,standard carrier aviation adjustment,yes
carrier_3,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,capital_30,30,29,1,0,0,standard carrier aviation adjustment,yes
carrier_4,bakasekai/common/units/equipment/ship_hull_carrier.txt,ship_type_slot,capital_30,30,29,1,0,0,standard carrier aviation adjustment,yes
cruiser_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,ship_type_slot,medium_18,18,17,1,0,0,large or special-purpose submarine,yes
destroyer_1,bakasekai/common/units/equipment/ship_hull_light.txt,ship_type_slot,escort_15,15,14,1,0,0,destroyer/light combatant,yes
destroyer_2,bakasekai/common/units/equipment/ship_hull_light.txt,ship_type_slot,escort_15,15,14,1,0,0,destroyer/light combatant,yes
