hull_id,source_path,profile_id,total_slot_count,editable_slot_count,fixed_visible_slot_count,hidden_slot_count,locked_slot_count
SH_battleship_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
SH_battleship_2,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
battle_cruiser_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
battle_cruiser_2,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
battleship_1,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
battleship_2,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
battleship_3,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
battleship_4,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
carrier_1,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
carrier_2,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
carrier_3,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
carrier_4,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
cruiser_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
destroyer_1,bakasekai/common/units/equipment/ship_hull_light.txt,light_small,7,7,0,0,0
destroyer_2,bakasekai/common/units/equipment/ship_hull_light.txt,light_small,7,7,0,0,0
destroyer_3,bakasekai/common/units/equipment/ship_hull_light.txt,light_small,7,7,0,0,0
destroyer_4,bakasekai/common/units/equipment/ship_hull_light.txt,light_small,7,7,0,0,0
fleet_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
heavy_cruiser_1,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
heavy_cruiser_2,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
heavy_cruiser_3,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
heavy_cruiser_4,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
light_cruiser_1,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
light_cruiser_2,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
light_cruiser_3,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
light_cruiser_4,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
mega_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
midget_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,midget_minimal,0,0,0,0,0
modern_battleship,bakasekai/common/units/equipment/ship_hull_heavy.txt,capital_large,11,11,0,0,0
modern_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
nuclear_missile_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
nuclear_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
repair_ship_1,bakasekai/common/units/equipment/repair_ships.txt,light_small,7,7,0,0,0
repair_ship_2,bakasekai/common/units/equipment/repair_ships.txt,light_small,7,7,0,0,0
repair_ship_hull,bakasekai/common/units/equipment/repair_ships.txt,light_small,7,7,0,0,0
rocket_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
ship_hull_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
ship_hull_carrier_1,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
ship_hull_carrier_2,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
ship_hull_carrier_3,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
ship_hull_carrier_conversion_bb,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
ship_hull_carrier_conversion_ca,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
ship_hull_carrier_modern,bakasekai/common/units/equipment/ship_hull_carrier.txt,aviation_large,36,34,0,0,2
ship_hull_carrier_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
ship_hull_cruiser,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
ship_hull_cruiser_1,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
ship_hull_cruiser_2,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
ship_hull_cruiser_3,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
ship_hull_cruiser_4,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
ship_hull_cruiser_coastal_defense_ship,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
ship_hull_cruiser_modern_aa,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
ship_hull_cruiser_panzerschiff,bakasekai/common/units/equipment/ship_hull_cruiser.txt,cruiser_medium,9,9,0,0,0
ship_hull_cruiser_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
ship_hull_escort_carrier,bakasekai/common/units/equipment/ship_hull_carrier.txt,cruiser_medium,9,9,0,0,0
ship_hull_fleet_submarine,bakasekai/common/units/equipment/ship_hull_submarine.txt,submersible_small,3,3,0,0,0
